	dimension 1	dimension 2
1001700605_C11	-1.2058876	-2.0093575
1001700605_C14	-23.80497	-28.413132
1001700605_C15	-25.77284	-19.173254
1001700605_C16	-9.861486	3.5608432
1001700605_C17	9.312017	-10.155335
1001700605_C18	-5.928775	-14.839759
1001700605_D1	-19.304998	-21.17767
1001700605_D3	-10.446267	-32.754356
1001700605_D4	-31.276001	-15.13517
1001700605_D8	-33.94123	-25.391926
1001700605_D9	-29.3412	-13.621317
1001700605_D13	-5.6758237	-18.32286
1001700605_D14	41.921436	33.089127
1001700605_D17	-8.74631	-10.402296
1001700605_E3	3.279381	-11.157989
1001700605_E5	-34.287903	-36.13679
1001700605_E7	8.447013	-33.63727
1001700605_E9	-21.219086	-19.786226
1001700605_E12	1.2765521	-11.852156
1001700605_E15	-11.174663	-2.4269555
1001700605_E19	-42.62801	-30.212639
1001700605_E22	0.07943781	17.814388
1001700605_F6	-6.8764668	9.470953
1001700605_F8	-29.291029	-33.54997
1001700605_F10	-8.528977	10.256314
1001700605_F11	9.645051	12.891235
1001700605_F14	-6.149334	-32.076412
1001700605_F18	-30.444778	-28.984701
1001700605_F19	-29.997019	-29.664122
1001700605_F21	-21.137623	13.795113
1001700605_G3	-16.711927	-20.186592
1001700605_G6	-43.591637	-29.90255
1001700605_G7	-14.412028	-32.73882
1001700605_G8	-8.215758	-38.174217
1001700605_G9	-28.818356	-15.336025
1001700605_G12	-15.808788	-12.375751
1001700605_G19	-31.690525	-7.3900223
1001700605_H2	-30.287123	-22.290026
1001700605_H9	-22.541327	-24.340836
1001700605_H12	23.294323	-18.04111
1001700605_H15	-13.3956375	8.608452
1001700605_H21	24.980867	-20.127516
1001700605_I3	33.886517	-3.2284033
1001700605_I6	-1.2609515	-31.266386
1001700605_I10	-25.83766	-15.029292
1001700605_I21	-14.654	0.4186993
1001700605_J2	-14.272878	-37.035454
1001700605_J7	-7.0837107	12.42814
1001700605_J8	-32.579926	-18.580462
1001700605_J9	-24.82588	-0.2757381
1001700605_J10	-19.524296	-5.204686
1001700605_J12	-16.72864	-10.630636
1001700605_J14	-6.677377	1.1329143
1001700605_J15	3.875846	-28.74744
1001700605_J16	-22.388247	-29.75921
1001700605_J17	-12.371608	-0.75432336
1001700605_K2	-13.726496	-16.195755
1001700605_K9	-18.13217	-26.345318
1001700605_K10	-3.556108	-17.082819
1001700605_K11	-34.27294	-29.020071
1001700605_K17	9.203743	-22.321568
1001700605_K21	15.488649	-8.016371
1001700605_L8	18.303545	21.29094
1001700605_L10	-10.804787	-34.634377
1001700605_L12	3.9053125	-17.727438
1001700605_L14	27.90697	25.484312
1001700605_L15	4.3731356	-37.5804
1001700605_L17	1.653342	1.047136
1001700605_L21	-8.499804	-17.880537
1001700605_L22	-32.27252	0.75616854
1001700605_M9	-19.714584	-1.5545472
1001700605_M11	5.6259065	-19.89701
1001700605_M12	-4.428111	-8.457937
1001700605_M15	15.265847	-18.03703
1001700605_M16	-8.075979	3.3967998
1001700605_M21	-17.996939	-19.064156
1001700605_N6	-30.955189	10.289792
1001700605_N14	-16.283188	-13.881707
1001700605_N21	-12.856116	-18.797104
1001700605_O1	-0.8222062	6.9629326
1001700605_O2	-45.936314	-23.606268
1001700605_O3	3.1510704	14.064917
1001700605_O5	-13.915813	-41.151863
1001700605_O6	-13.660201	4.250328
1001700605_O8	-8.682663	-7.926907
1001700605_O9	-25.364477	-2.1228683
1001700605_O11	24.457441	-19.474298
1001700605_O12	-18.360878	-27.469772
1001700605_O14	-19.368542	-19.298424
1001700605_O15	-13.030042	-18.92663
1001700605_O16	-21.995642	-42.868946
1001700605_O19	-2.3897064	-32.140564
1001700605_O20	-18.86833	-13.644509
1001700605_O21	-19.505304	9.641487
1001700605_O22	-31.33341	-39.375847
1001700605_P17	-5.30234	-17.087168
1001700605_P20	2.5440266	-36.141514
1001700605_P21	-35.810314	17.411581
