	dimension 1	dimension 2
1001700604_M20	49.06915	-4.713778
1001700604_N4	-1.6238613	-15.614305
1001700604_N9	18.546385	-0.34331834
1001700604_N10	10.21999	-18.209934
1001700604_N12	-18.977	13.915597
1001700604_N17	37.315617	6.4455523
1001700604_N19	22.215532	-1.2894447
1001700604_O4	11.598146	3.2650886
1001700604_O9	-16.32804	-11.592889
1001700604_O11	14.918848	19.455143
1001700604_O13	40.049507	12.292707
1001700604_O16	40.264782	-4.4941626
1001700604_O18	5.077201	-13.374523
1001700604_O20	30.786737	-35.722343
1001700604_P5	-19.940592	-34.29341
1001700604_P7	33.0429	-4.1726394
1001700604_P8	-5.545264	-21.415306
1001700604_P9	-16.951044	-34.081802
1001700604_P11	-20.716238	-33.4748
1001700604_P12	4.4834204	-15.674468
1001700604_P14	29.024757	7.830184
1001700604_P18	44.83193	-6.7727365
1001700604_P21	-19.726238	-35.648834
1001700605_A1	-24.191418	-33.88363
1001700605_A6	11.801847	3.8763208
1001700605_A8	-19.656864	-32.791214
1001700605_A11	7.3148904	-22.811964
1001700605_A14	-24.219252	29.295996
1001700605_A16	41.493176	6.422169
1001700605_A18	6.4815083	4.249682
1001700605_A20	-14.841077	-30.879358
1001700605_A21	60.687595	-18.842041
1001700605_A22	-15.323479	-31.58013
1001700605_B1	-22.251183	-35.3987
1001700605_B4	26.74365	28.338196
1001700605_B8	24.212427	-14.624752
1001700605_B11	7.577436	23.187172
1001700605_B13	25.070267	-21.111488
1001700605_B14	13.907741	-16.021915
1001700605_B15	5.544093	9.522613
1001700605_B18	-18.249735	14.75005
1001700605_C3	17.362562	-37.403133
1001700605_C4	38.119022	-12.929714
1001700605_C7	27.534927	-13.721129
1001700605_C9	14.906904	7.305815
1001700605_C11	-7.56176	38.433395
1001700605_C14	39.275394	-4.862317
1001700605_C15	11.635363	-15.558557
1001700605_C16	10.340092	18.453762
1001700605_C17	-7.455268	4.9701056
1001700605_C18	4.400099	-13.136387
1001700605_D1	-12.08391	-18.536798
1001700605_D3	27.521555	-18.582949
1001700605_D4	29.527214	2.0622232
1001700605_D8	40.43662	7.342562
1001700605_D9	31.513075	-20.55713
1001700605_D13	9.511871	-9.954889
1001700605_D14	-67.00994	11.16622
1001700605_D17	2.595945	-24.309748
1001700605_E3	-3.520517	0.85049534
1001700605_E5	22.605276	-10.829986
1001700605_E7	26.862764	-2.0528119
1001700605_E9	24.034706	-8.987085
1001700605_E12	-1.750993	-0.11980052
1001700605_E15	13.2854395	11.536346
1001700605_E19	60.954952	-18.370474
1001700605_E22	36.897156	7.9357123
1001700605_F6	-3.6520534	14.230295
1001700605_F8	34.10443	-7.0084376
1001700605_F10	-3.1718912	15.7893
1001700605_F11	-37.881607	-10.142569
1001700605_F14	15.870132	-22.47028
1001700605_F18	42.79693	-21.228868
1001700605_F19	41.849113	-20.840584
1001700605_F21	13.827305	34.986313
1001700605_G3	17.87382	0.25336188
1001700605_G6	60.835007	-17.164165
1001700605_G7	16.648983	-18.803114
1001700605_G8	13.545841	-29.676102
1001700605_G9	13.085445	-21.115984
1001700605_G12	17.236038	-15.094423
1001700605_G19	53.332085	-8.773045
1001700605_H2	11.031426	-16.928375
1001700605_H9	27.072332	-14.713423
1001700605_H12	-9.769337	33.20911
1001700605_H15	2.6859457	20.27065
1001700605_H21	-12.12259	33.8307
1001700605_I3	-23.519926	9.976863
1001700605_I6	10.976187	-24.804396
1001700605_I10	28.901014	-24.252094
1001700605_I21	15.419605	7.2790794
1001700605_J2	31.568481	-13.881851
1001700605_J7	-5.2658443	16.385845
1001700605_J8	28.703562	19.035309
1001700605_J9	1.2822807	2.287891
1001700605_J10	4.4194207	0.54348105
1001700605_J12	13.704705	-1.0848855
1001700605_J14	10.300485	14.807637
1001700605_J15	22.599474	-23.756964
1001700605_J16	35.454033	-2.0139205
1001700605_J17	17.866383	7.1972737
1001700605_K2	8.290307	-19.028849
1001700605_K9	40.401962	17.80717
1001700605_K10	14.981462	-11.339441
1001700605_K11	22.859133	-7.9562187
1001700605_K17	-9.166407	-8.538831
1001700605_K21	-9.503767	33.850925
1001700605_L8	-46.965252	-4.2020216
1001700605_L10	40.579094	-32.639812
1001700605_L12	33.37569	26.497313
1001700605_L14	-50.87427	-2.020688
1001700605_L15	-2.7256186	40.296448
1001700605_L17	10.091333	24.90349
1001700605_L21	11.2922735	-11.269115
1001700605_L22	23.02214	-34.47447
1001700605_M9	9.092283	0.19645692
1001700605_M11	-6.4284773	-5.527265
1001700605_M12	-0.7894531	-30.984741
1001700605_M15	-13.7810755	-5.7233663
1001700605_M16	9.419498	16.703705
1001700605_M21	18.799788	-2.9216776
1001700605_N6	21.0772	-9.912529
1001700605_N14	17.072046	-16.552708
1001700605_N21	10.1082735	-17.05368
1001700605_O1	-9.673766	28.837904
1001700605_O2	32.522675	21.156248
1001700605_O3	-14.848513	23.497217
1001700605_O5	31.396841	-30.794853
1001700605_O6	7.161349	23.784632
1001700605_O8	2.770185	-26.306416
1001700605_O9	2.4481552	4.1183505
1001700605_O11	-11.463922	33.413536
1001700605_O12	34.009438	1.5710673
1001700605_O14	20.333067	-3.4120312
1001700605_O15	10.224301	-16.513006
1001700605_O16	52.04707	-14.906488
1001700605_O19	12.283889	-24.056765
1001700605_O20	19.871134	-14.548459
1001700605_O21	31.414528	15.129717
1001700605_O22	30.7874	-2.9134128
1001700605_P17	13.815097	-11.518894
1001700605_P20	8.377197	-22.971846
1001700605_P21	-22.1344	-34.92011
1001700606_A1	-16.529581	-25.949638
1001700606_A5	16.99756	11.30647
1001700606_A8	32.59029	20.55795
1001700606_A11	5.039648	1.4225966
1001700606_A13	-13.836142	-2.9489741
1001700606_A21	24.057121	29.587635
1001700606_B4	3.514998	28.895926
1001700606_B7	47.256176	-7.9967437
1001700606_B12	23.75584	18.111132
1001700606_B13	33.735657	-8.610158
1001700606_B14	52.510303	-4.3771486
1001700606_B15	23.697653	36.43887
1001700606_B16	12.748806	-7.7630386
1001700606_B19	-15.8628845	-11.625347
1001700606_B20	11.002583	0.4417184
1001700606_B22	17.980303	-5.0638547
1001700606_C1	44.70465	-6.394185
1001700606_C3	26.666334	-4.6420197
1001700606_C6	3.2458653	20.218056
1001700606_C10	35.183823	1.3622833
1001700606_C13	-1.0090215	24.53243
1001700606_C16	51.003704	0.42616075
1001700606_C18	-1.5304508	5.1903167
1001700606_C21	0.4531703	34.54737
1001700606_C22	-16.809156	34.338104
1001700606_D5	26.828669	-12.397151
1001700606_D12	15.937926	5.46466
1001700606_D14	33.56269	-13.7101965
1001700606_D16	-1.4093006	24.262857
1001700606_D17	31.399529	-29.88762
1001700606_D20	-3.8013875	-9.836021
1001700606_E2	5.5317483	35.728268
1001700606_E5	14.935967	14.433539
1001700606_E6	23.917274	-8.00175
1001700606_E10	19.142342	-14.2401
1001700606_E12	-7.941659	28.353327
1001700606_E15	-29.088076	35.59106
1001700606_E17	46.29689	26.17109
1001700606_E18	49.045372	3.0527978
1001700606_E19	10.531607	-27.46243
1001700606_E22	-10.323134	-19.220587
1001700606_F1	-27.469011	-11.400048
1001700606_F3	16.542812	-6.432431
1001700606_F4	53.617844	-27.143345
1001700606_F6	21.769634	-12.106626
1001700606_F8	-17.405735	26.622492
1001700606_F11	-0.40859538	-21.952795
1001700606_F13	1.1391587	-2.9448566
1001700606_F16	29.930464	4.979088
1001700606_F18	-11.681399	-9.134947
1001700606_F21	52.70569	2.2394922
1001700606_G3	-26.20258	4.215544
1001700606_G5	30.595453	-1.5552814
1001700606_G7	0.723561	10.902438
1001700606_G14	16.668646	24.83023
1001700606_H1	-3.8177674	-23.693384
1001700606_H3	-2.578161	-21.813911
1001700606_H6	-6.337126	32.905735
1001700606_H11	20.038746	-20.532494
1001700606_H15	40.008198	2.8167434
1001700606_H17	-9.6156645	4.734177
1001700606_I2	11.601037	35.77267
1001700606_I4	22.902655	9.2736845
1001700606_I5	41.09823	-17.343401
1001700606_I7	-5.903525	28.509659
1001700606_I8	-7.419327	-9.1103525
1001700606_I10	-4.7368674	24.506172
1001700606_I12	33.63305	-30.31037
1001700606_I14	24.74003	36.130833
1001700606_I15	24.713694	0.6383345
1001700606_I21	29.95262	-27.053219
1001700606_I22	25.188831	-30.8208
1001700606_J3	12.66325	31.154259
1001700606_J5	26.287886	5.214909
1001700606_J6	12.3302555	-23.942417
1001700606_J8	40.118668	11.718535
1001700606_J11	-34.68343	15.231251
1001700606_J16	26.135952	-8.380241
1001700606_K1	39.42839	-25.042936
1001700606_K3	51.508625	8.054643
1001700606_K5	9.681648	29.027973
1001700606_K6	30.773825	-31.56487
1001700606_K8	3.1819396	-0.836917
1001700606_K10	41.119144	-3.3242726
1001700606_K14	17.87183	-16.071564
1001700606_K16	26.868015	-7.0553336
1001700606_K19	28.02158	-0.4931731
1001700606_K22	41.560196	-5.175498
1001700606_L1	2.610436	-20.519796
1001700606_L4	26.87181	-18.609022
1001700606_L7	10.211995	18.74827
1001700606_L11	36.81837	-1.0362821
1001700606_L16	3.9929216	11.600686
1001700606_L18	39.495342	11.90812
1001700606_L21	44.862324	15.338453
1001700606_M2	0.48674005	-15.657105
1001700606_M4	32.13538	-21.442087
1001700606_M5	13.146148	-23.338663
1001700606_M9	28.085201	-5.234906
1001700606_M12	16.87558	0.4581552
1001700606_M17	29.64255	8.586319
1001700606_M20	-13.062118	24.598486
1001700606_N1	-13.997833	22.705378
1001700606_N7	-9.955816	26.91463
1001700606_N10	23.32066	-6.741055
1001700606_N11	37.99346	11.812412
1001700606_N13	41.498684	-3.0125198
1001700606_N16	56.824284	4.7505436
1001700606_N19	-18.552462	-1.2362527
1001700606_N21	24.561611	-8.4133215
1001700606_O3	-5.9572663	19.022125
1001700606_O5	-38.53003	-11.161477
1001700606_O8	41.68763	-10.891547
1001700606_O11	29.856133	4.0971003
1001700606_O12	3.0095851	-14.834486
1001700606_O17	23.472202	-17.385622
1001700606_O20	37.3393	0.90837544
1001700606_P4	1.3157141	7.468651
1001700606_P5	-20.4228	-34.887024
1001700606_P9	4.3554206	4.270693
1001700606_P10	-4.6277027	-13.426609
1001700606_P12	17.989218	13.144567
1001700606_P18	-16.475088	-33.46792
1001700606_P19	-16.025291	-35.79459
1001700607_A5	8.3968	4.4206786
1001700607_A11	-5.531734	18.616142
1001700607_A14	28.114296	1.7445041
1001700607_B3	15.334037	26.147013
1001700607_B9	21.260126	-15.981745
1001700607_B12	-6.1462193	-10.333217
1001700607_C8	-19.258213	30.29065
1001700607_C13	2.2682025	4.992108
1001700607_C14	-1.9873688	-20.182924
1001700607_C20	42.083195	-8.313712
1001700607_D1	-15.510575	37.887573
1001700607_D4	45.016243	-2.182316
1001700607_D8	41.302597	-15.707414
1001700607_E16	10.08174	23.897436
1001700607_F6	34.084934	-12.367944
1001700607_F9	-18.738869	19.988659
1001700607_F22	62.49169	-17.927624
1001700607_G1	4.129766	9.3597
1001700607_G3	-6.1559176	-28.114552
1001700607_G6	22.90377	-3.4125469
1001700607_G15	13.021194	-27.888626
1001700607_G21	41.10651	-16.749468
1001700607_H5	40.31909	9.34685
1001700607_H7	32.719112	-21.56564
1001700607_H12	52.171093	-4.950782
1001700607_H17	22.830502	-33.496536
1001700607_H20	36.734108	15.816143
1001700607_I3	-4.42834	40.018494
1001700607_I9	22.538595	-28.155392
1001700607_I14	51.101852	8.624737
1001700607_I16	8.204737	-4.4473915
1001700607_I19	37.33826	-8.303358
1001700607_I21	39.865902	-10.419734
1001700607_J1	35.140205	11.534462
1001700607_J7	16.410097	27.552454
1001700607_J11	47.873074	-1.9882951
1001700607_J13	14.71893	22.190315
1001700607_J17	-11.496785	11.667402
1001700607_K3	49.96378	6.6732054
1001700607_K5	49.226124	-20.216822
1001700607_K9	17.714413	-41.69245
1001700607_K12	53.851673	-3.2091331
1001700607_K15	43.898483	-19.883041
1001700607_K18	18.40616	23.287495
1001700607_K20	32.53971	14.961173
1001700607_L7	49.57866	-15.479147
1001700607_L8	49.627758	-21.150387
1001700607_L11	44.78073	-16.131207
1001700607_L13	7.5414352	-26.008816
1001700607_L14	18.175243	-43.92605
1001700607_L16	23.794825	-5.2555547
1001700607_L19	45.502647	-13.3796015
1001700607_M3	4.0402646	20.14396
1001700607_M16	6.895448	7.6935353
1001700607_M17	17.084885	4.6108317
1001700607_M20	46.62239	0.578299
1001700607_N10	40.748753	16.914017
1001700607_N12	14.962755	21.456726
1001700607_N14	21.619272	-26.847988
1001700607_O7	19.416973	-22.090145
1001700607_O10	23.98414	-26.453972
1001700607_O17	35.69547	-17.667673
1001700607_O21	7.6037407	15.637117
1001700607_P6	34.08853	-17.272556
1001700607_P8	5.654377	34.150364
1001700607_P10	26.980947	28.744167
1001700607_P12	4.9174056	-3.6377347
1001700607_P14	33.491184	-6.7905626
1001700607_P22	-15.40085	-33.673164
1001700608_B5	33.807846	-5.218543
1001700608_B8	-11.594862	5.066532
1001700608_B11	-48.867893	14.8485985
1001700608_B13	-20.839224	8.972635
1001700608_B17	-36.996136	13.347627
1001700608_C3	16.799654	-1.6655278
1001700608_C4	28.214384	-23.557673
1001700608_C6	-17.132072	15.684371
1001700608_C10	23.423693	-1.5168447
1001700608_C15	25.569609	27.96695
