	dimension 1	dimension 2
1001700606_K1	17.117544	24.08948
1001700606_K3	39.954403	31.880562
1001700606_K5	23.055683	-11.14356
1001700606_K6	42.864937	26.09605
1001700606_K8	21.310635	33.28688
1001700606_K10	36.953568	32.31277
1001700606_K14	24.938774	8.743941
1001700606_K16	20.537077	18.778992
1001700606_K19	20.638382	12.787841
1001700606_K22	37.447594	34.04136
1001700606_L1	18.760962	44.801723
1001700606_L4	20.049753	14.961668
1001700606_L7	20.713896	-19.343817
1001700606_L11	29.047195	29.467964
1001700606_L16	31.848352	-10.132294
1001700606_L18	42.610462	18.639473
1001700606_L21	37.530235	39.80491
1001700606_M2	12.523617	19.176702
1001700606_M4	18.323387	22.425371
1001700606_M5	36.04097	6.6424613
1001700606_M9	36.05638	26.548912
1001700606_M12	31.317034	-1.6653664
1001700606_M17	22.450447	16.967539
1001700606_M20	1.1281029	-24.817192
1001700606_N1	-0.0058945045	-25.533484
1001700606_N7	11.462831	-27.964968
1001700606_N10	26.900904	19.327913
1001700606_N11	42.64193	19.530998
1001700606_N13	37.256073	32.456577
1001700606_N16	26.961222	28.989597
1001700606_N19	17.829128	-8.091293
1001700606_N21	23.888514	17.462355
1001700606_O3	11.319113	-16.547997
1001700606_O5	-7.439361	-27.344532
1001700606_O8	41.16391	29.818903
1001700606_O11	13.698074	23.945745
1001700606_O12	-3.3560083	-19.181969
1001700606_O17	14.770224	28.091465
1001700606_O20	37.142162	41.59458
1001700606_P4	22.718658	20.943148
1001700606_P5	37.976265	18.926723
1001700606_P9	21.968098	-1.661963
1001700606_P10	19.029251	-6.684275
1001700606_P12	11.536236	-7.3408003
1001700606_P18	35.502083	20.68234
1001700606_P19	34.314747	20.682201
1001700608_B5	47.744804	27.622757
1001700608_B8	-3.8896255	11.257192
1001700608_B11	-28.75702	-33.34766
1001700608_B13	-21.594082	10.447163
1001700608_B17	-27.603233	1.1299306
1001700608_C3	16.984175	-11.307884
1001700608_C4	20.83609	24.380669
1001700608_C6	-0.51545215	-29.131971
1001700608_C10	25.43536	21.864168
1001700608_C15	20.984325	-5.8092656
1001700608_C18	14.751798	18.764257
1001700608_D6	-33.31803	3.8814726
1001700608_D7	-2.8384528	-1.2971296
1001700608_D8	-17.848581	-23.782734
1001700608_D12	-2.5095854	-0.83537513
1001700608_D17	42.967476	41.527157
1001700608_E1	-1.7440757	5.1155915
1001700608_E2	7.9455657	-6.0329943
1001700608_E3	5.100756	-7.8026514
1001700608_E4	-16.80063	6.3249707
1001700608_E8	46.81787	22.232798
1001700608_E11	37.290165	35.05888
1001700608_E14	-27.300104	-15.51968
1001700608_E17	44.485233	7.4006042
1001700608_E20	-13.713381	-4.0496187
1001700608_F2	26.598396	26.245804
1001700608_F8	10.327901	-33.576305
1001700608_F16	2.4168653	1.4778684
1001700608_G1	8.757386	-32.519325
1001700608_G2	23.146355	-9.005524
1001700608_G5	-23.778458	-22.496237
1001700608_G13	15.043501	-5.3178697
1001700608_G19	-20.921759	-14.598438
1001700608_G21	33.812977	31.37836
1001700608_H3	-24.01554	-25.580498
1001700608_H13	-19.084108	-6.6488533
1001700608_H16	-9.561697	12.636849
1001700608_H17	-13.802321	-6.277588
1001700608_H19	9.2741375	9.030049
1001700608_I1	-17.0572	-8.943412
1001700608_I2	-44.796646	-26.21453
1001700608_I4	-22.45897	2.923119
1001700608_I11	27.733185	30.554537
1001700608_I20	-19.373196	-21.920555
1001700608_J10	34.9515	-11.321703
1001700608_J14	-26.84047	-9.8603945
1001700608_J18	8.962095	9.998984
1001700608_J19	-46.672768	-31.304802
1001700608_J21	-20.690796	-13.928693
1001700608_K2	20.147312	37.71783
1001700608_K4	-26.491096	-28.775583
1001700608_K12	21.214725	39.849136
1001700608_K14	-10.687399	-13.283901
1001700608_K17	-20.696188	-6.674056
1001700608_K20	-13.423238	-18.57081
1001700608_L8	28.101187	28.894297
1001700608_L10	-7.814607	5.585809
1001700608_L14	-34.48741	3.0628173
1001700608_L16	-17.140257	-22.480589
1001700608_L17	21.24579	-21.547918
1001700608_M4	11.164337	10.032119
1001700608_M9	-16.657639	-17.016191
1001700608_M10	13.140736	-10.61674
1001700608_M13	-50.224422	-21.400011
1001700608_M15	-22.936562	2.3533437
1001700608_M18	13.802481	-13.254166
1001700608_M20	2.2708795	-6.205898
1001700608_N6	13.712239	-7.2477593
1001700608_N9	-15.615318	-19.163479
1001700608_N12	20.21885	39.15365
1001700608_N13	-18.690182	-16.721903
1001700608_N14	20.370764	21.484264
1001700608_N16	1.970605	-7.176119
1001700608_N18	34.357628	29.021345
1001700608_N19	-16.208591	-1.0211718
1001700608_O2	49.812504	22.714699
1001700608_O4	13.669008	28.92677
1001700608_O8	-25.217266	-16.857723
1001700608_O10	-32.30683	-3.4549005
1001700608_O12	4.4051447	14.584489
1001700608_O15	35.420227	29.33216
1001700608_O17	38.894	34.399384
1001700608_O19	-14.292379	-5.119987
1001700608_O20	9.540971	-29.483385
1001700608_O22	-10.011203	7.204294
1001700608_P7	2.6176128	-11.238069
1001700608_P8	6.840971	24.242771
1001700608_P11	-2.9843395	5.7319374
1001700608_P14	22.47403	23.738869
1001700608_P15	30.899635	-12.042379
1001700608_P17	6.7913814	2.2276561
1001700609_A1	-15.415833	-37.696228
1001700609_A2	-11.06842	36.94482
1001700609_A9	-33.95895	-24.166552
1001700609_A11	-40.291798	-15.48623
1001700609_A14	-34.102398	-12.63143
1001700609_A16	-43.337322	-19.524961
1001700609_A17	-17.75265	-4.2856092
